Travel Tourism,Travel and Tourism Site for Vermont 
,See historical snapshot at: http://web.archive.org/web/20080120044716/http://www.1800arkansas.com/  
Department Education,"2-1-1 VIRGINIA is a service of the Virginia Department of Social Services provided in partnership with the Council of Community Services, the Family Resource and Referral Center, The Planning Council, the United Way of Central Virginia, and the United Way of Greater Richmond and Petersburg. "
Department Education,"2-1-1 VIRGINIA is a service of the Virginia Department of Social Services provided in partnership with the Council of Community Services, the Family Resource and Referral Center, The Planning Council, the United Way of Central Virginia, and the United Way of Greater Richmond and Petersburg. "
,4th Judicial District Attorney 
State Board,"511 NY (New York State Department of Transportation), the free, official one-stop, all-encompassing telephone and Web service offering  information on transportation services and conditions throughout New York State.  "
State Board,State of Idaho (mirror website of www.idaho.gov) 
University Extension,Alabama Cooperative Extension System 
University Extension,New Mexico Cooperative Extension Publications 
,Pennsylvania Adoption Exchange 
Public Health,Alabama Department of Public Health 
University Extension,University of Massachusetts Center for Agriculture Research and Extension 
University Extension,Texas A&M AgriLife Extension 
,Alabama Housing Finance Authority 
,Alaska Housing Finance Corporation 
Economic Development,Alaska Industrial Development and Export Authority 
Department Education,Alaska's Department of Military and Veterans Affairs Division of Homeland Security and Emergency Management 
State Board,Alaska Aerospace Corporation (Board of directors appointed by Alaska governor) 
,Alaska Energy Authority 
Public Health,Alaska Public Broadcasting Commission 
,Alaska Railroad Corporation 
Travel Tourism,Travel and Tourism Site for Alabama 
National Guard,Alabama National Guard Counterdrug Program 
,Alabama Film Office 
State Board,"Alabama's Legal Information Center, Alabama Supreme Court and State Law Library Catalog - catalog.alalinc.net and 2.alalinc.net "
,Alaska Railroad Corporation 
,Alaska Seafood Marketing Institute 
Board Examiners,Alabama State Board of Medical Examiners (an administrative and regulatory agency of the state of Alabama) and the Medical Licensure Commission of Alabama 
,Alabama Board of Pharmacy 
State Board,Alabama State Department of Education 
Tourism Site,Travel and Tourism Site for American Samoa 
,"Amtrak Cascades, a train service sponsored by the state departments of transportation of Washington and Oregon. "
,Agency for Persons with Disabilities (APD) 
,Alaska Permanent Fund Corporation 
Public Health,Arkansas Public Service Commission 
Public Health,ARBenefitsfor Arkansas State and Public School Plan MembersProvided by the Employee Benefit Division of the [Arkansas] Department of Finance & Administration 
State Board,Arkansas Fire Protection Licensing Board 
,Arkansas National Guard 
Travel Tourism,Travel and Tourism Site for Arizona 
,Arizona lottery 
,"Arizona's Workforce Connection!, a website of the Governor's Council on Workforce Policy developed to provide easy access to the workforce development system in Arizona. "
Department Education,"Arkansas History Commission, a division of the Arkansas Department of Parks and Tourism "
Travel Tourism,Travel and Tourism Site for Arkansas 
,Arkansas Children's Trust Fund 
,Arkansas Department of Education 
Economic Development,Arkansas Economic Development Coorporation (AEDC) 
,Arkansas Ethics Commission 
Department Education,"ARKids First health insurance, Arkansas Department of Human Services "
,Arkansas Livestock and Poultry Commission 
State Board,Arkansas State Medical Board 
State Board,Arkansas State Board of Optometry 
State Board,Arkansas State Board of Physical Therapy 
State Board,Arkansas State Board of Collection Agencies 
State Board,"Alabama State Port Authority, Mobile, AL "
,American Samoa Territorial Energy Office 
Public Health,New York State Public Service Commission’s Consumer Web Site 
State Board,"California State Assembly Democratic Caucus, State of California "
,Assistive Technology Loan Fund Authority. The authority offers low interest loans for a variety of special equipment to eligible applicants. See the establishing law at http://law.lis.virginia.gov/authorities/assistive-technology-loan-fund-authority-atlfa  
Board Examiners,Arizona Board of Behavioral Health Examiners 
,Arizona Commerce Authority 
State Board,Arizona State Board of Dental Examiners 
,Arizona State Parks 
Department Education,"USS North Carolina Battleship, North Carolina Department of Cultural Resources "
,"Village of Baxter Estates, Port Washington, NY "
State Board,North Carolina Board of Massage & Bodywork Therapy 
,NC museum of natural sciences  
,State of Connecticut Bonds 
National Guard,"California Humanities is an independent non-profit partner of the National Endowment for the Humanities,  nthat promotes the humanities in California in order to help create &ldquo;a state of open mind.' "
,"CaliforniaVolunteers, the state office that manages programs and initiatives aimed at increasing the number of Californians engaged in service and volunteering "
State Board,CA State Independent Living Counsel advocates for persons with disabilities to enable them to live independently. n  
State Board,California State Teachers Retirement System 
,Nebraska State Capitol 
State Board,"Caswell Developmental Center, NC Division of State Operated Healthcare Facilities "
Public Health,"California Environmental Health Tracking Program, California Department of Public Health "
University Extension,Univ of Kentucky Extension website 
State Board,"Hawaii-Pacific Area Combined Federal Campaign - geographic area includes the State of Hawaii, Guam, Northern Marianas Islands, and American Samoa "
,"Tristate CFC, Indiana "
,"College Foundation of North Carolina, a service of the State of North Carolina "
,"Chesapeake Bay Program, Restoration of the Chesapeake Bay http://www.chesapeakebay.net "
Public Health,Pennsylvania's Children's Health Insurance Program (CHIP) 
Economic Development,Maryland Department of Business and Economic Development 
,Connecticut Historical SocietyMuseum and Library 
,"statesville, nc "
,"Clemson Univ, Sc "
,Arkansas Commission on Law Enforcement Standards and Training 
Department Education,"Coliseum Boulevard Plume (CBP), an area in Montgomery, Alabama, where the groundwater 10-50 feet below land surface contains trichloroethylene (TCE).  Investigation, management, and cleanup of the groundwater is being conducted by the https://www.dot.state.al.us/ Alabama Department of Transportation (ALDOT). "
Travel Tourism,Travel and Tourism Site for Colorado 
,Colorado lottery 
Public Health,"Colorado No Call program. A private company, Data Protection Group, operates this site under contract with the Colorado Public Utilities Commission. "
,"Upper Colorado River Endangered Fish Recovery Program, U.S. Fish and Wildlife Service "
,North Carolina DOT Complete Streets 
Department Education,"Correction Enterprises, North Carolina Department of Public Safety "
State Board,Louisiana Crawfish Promotion and Research Board (LCPRB) 
,Georgia Superior Courts 
State Board,Connecticut State Treasury Unclaimed Property Owners List 
University Extension,"Center for Technology at the University at Albany, State University of New York "
,Connecticut lottery 
,Connecticut State Library 
Travel Tourism,Travel and Tourism Site for Connecticut 
,Clean Water Management Trust Fund  
,IL Secretary of State 
,Delaware National Guard 
Department Education,"Division of Employment Security (DES), NC Department of Commerce (NCC) "
,"Massachusetts JobQuest, Massachusetts Deparment of Career Services "
State Board,"About the Digital Maine Repository The Digital Maine Repository is one of several services of the Maine State Library to facilitate digitization of - and enhanced access to - collections related to Maine history, genealogy, culture and government. The repository was designed to host a variety of media including books, images, maps and documents, as well as audio and video collections.  "
Travel Tourism,Travel and Tourism Site for Ohio 
Travel Tourism,Travel and Tourism Site for South Carolina 
Department Education,Virginia Department of Motor Vehicles 
Department Education,American Samoa Department of Education 
,NC Dept of Revenue 
Department Education,"Driving95 Corridor Planning and Finance Study website, North Carolina Department of Transportation (NCDOT) "
National Guard,Wisconsin National Guard Drug Control Program 
,myeatsmartmovemore.com is the 'consumer' site and eatsmartmovemorenc.com is the 'program' site. 
State Board,Educational Communications Board of WI 
State Board,"Environmental Hearing Board, State of Pennsylvania "
Public Health,Environmental Health Officer Professional Advisory Committee 
State Board,Virginia Office of the State Long-Term Care Ombudsman 
University Extension,Washington State University ExtensionEnergy Program 
,"The Energy Section in the Division of Energy, Mineral and Land Resources  "
,Illinois Office of Tourism 
,environmental help website of NC 
,Nebraska Environmental Trust 
,This is a site of the east-west gateway Council of Government in the bi-state St. Louis area. 
,Executive Action Team (EXACT) Multilateral Working Group on Water Resources 
Travel Tourism,Travel and tourism site for Washington State 
Travel Tourism,Travel and Tourism Site for Georgia 
Travel Tourism,Travel and tourism site for state of Minnesota hosted by Explore Minnesota Tourism 
,Virginia Cooperative Extension  
State Board,Washington State University Extension 
University Extension,West Virginia University Extension Service 
State Board,Iowa State University Extension 
,University of Illinois Extension 
University Extension,New Mexico Cooperative Extension Service 
University Extension,Oregon State University Extension Service 
